DecayParticle1_Name DecayParticle1_Boson DecayParticle1_mass DecayParticle1_E DecayParticle1_px DecayParticle1_py DecayParticle1_pz DecayParticle2_Name DecayParticle2_Boson DecayParticle2_mass DecayParticle2_E DecayParticle2_px DecayParticle2_py DecayParticle2_pz
W+ 1 80.4 181.108 -148 -36 56 W- 1 80.4 166.926 60 102 -86
b_quark 0 4.18 103.631 7 -103 8 b_quark 0 4.18 98.9215 -16 46 -86
W+ 1 80.4 142.682 102 33 -49 W- 1 80.4 180.854 -112 -110 -40
b_quark 0 4.18 71.13 5 -61 36 b_quark 0 4.18 158.305 11 129 -91
W+ 1 80.4 202.159 -28 44 -178 W- 1 80.4 184.364 6 -99 133
tau+ 0 1.78 127.629 31 -21 -122 tau- 0 1.78 158.456 12 -65 144
b_quark 0 4.18 98.4402 -32 -93 0 b_quark 0 4.18 119.354 -8 108 50
b_quark 0 4.18 58.6214 -27 43 -29 b_quark 0 4.18 133.759 -73 -56 97
W+ 1 80.4 117.551 69 -48 17 W- 1 80.4 174.371 -82 129 -24
W+ 1 80.4 184.66 89 -133 -45 W- 1 80.4 141.754 -75 38 81
b_quark 0 4.18 190.899 144 8 -125 b_quark 0 4.18 98.7344 -81 -19 53
b_quark 0 4.18 126.172 77 82 57 b_quark 0 4.18 129.323 1 -59 -115
b_quark 0 4.18 144.981 111 -20 -91 b_quark 0 4.18 108.363 -102 -36 5
W+ 1 80.4 236.011 -14 -129 180 W- 1 80.4 207.473 -9 140 -130
W+ 1 80.4 103.369 44 46 -13 W- 1 80.4 146.517 51 -99 -51
tau+ 0 1.78 190.534 -130 50 -130 tau- 0 1.78 134.12 112 -20 71
W+ 1 80.4 153.108 -105 -52 57 W- 1 80.4 248.556 120 140 -146
W+ 1 80.4 108.725 12 37 62 W- 1 80.4 128.274 -74 -67 -5
W+ 1 80.4 178.02 149 25 49 W- 1 80.4 163.163 -114 -69 49
b_quark 0 4.18 182.021 -7 133 -124 b_quark 0 4.18 132.9 48 -46 115
b_quark 0 4.18 180.528 -16 -139 114 b_quark 0 4.18 121.863 24 71 -96
b_quark 0 4.18 227.448 135 87 -161 b_quark 0 4.18 85.8806 -46 -39 61
b_quark 0 4.18 84.2999 22 46 -67 b_quark 0 4.18 141.023 -67 -105 66
b_quark 0 4.18 71.4736 -29 -35 -55 b_quark 0 4.18 118.4 56 104 7
b_quark 0 4.18 111.474 -105 -22 30 b_quark 0 4.18 187.626 144 113 41
b_quark 0 4.18 276.708 7 -190 201 b_quark 0 4.18 168.388 66 110 -109
b_quark 0 4.18 47.8693 37 -11 -28 b_quark 0 4.18 125.76 -125 -2 13
tau+ 0 1.78 78.1228 60 30 -40 tau- 0 1.78 88.443 -51 27 67
W+ 1 80.4 264.246 -55 199 144 W- 1 80.4 177.364 0 -145 -63
b_quark 0 4.18 164.968 -112 -27 118 b_quark 0 4.18 136.185 69 58 -102
b_quark 0 4.18 149.544 -99 89 -68 b_quark 0 4.18 68.0696 46 -48 -14
b_quark 0 4.18 204.615 3 -204 15 b_quark 0 4.18 166.717 -86 130 -59
b_quark 0 4.18 189.086 -44 46 -178 b_quark 0 4.18 142.879 76 -85 86
b_quark 0 4.18 229.485 -189 -5 -130 b_quark 0 4.18 184.137 117 -34 138
b_quark 0 4.18 133.385 66 -103 53 b_quark 0 4.18 164.349 -137 68 -60
W+ 1 80.4 177.046 6 157 14 W- 1 80.4 137.601 -53 -70 69
b_quark 0 4.18 251.757 -216 -128 -18 b_quark 0 4.18 194.398 149 124 14
b_quark 0 4.18 173.074 -38 -157 62 b_quark 0 4.18 127.199 69 99 -40
W+ 1 80.4 202.156 -23 -175 57 W- 1 80.4 187.963 -44 119 -113
b_quark 0 4.18 193.441 40 -189 9 b_quark 0 4.18 185.891 -127 128 -45
W+ 1 80.4 277.201 -142 6 224 W- 1 80.4 184.18 49 81 -136
W+ 1 80.4 147.228 -70 86 -54 W- 1 80.4 209.526 149 -80 94
b_quark 0 4.18 246.505 215 119 19 b_quark 0 4.18 226.538 -121 -150 -119
b_quark 0 4.18 271.364 -215 -114 120 b_quark 0 4.18 182.375 145 53 -97
b_quark 0 4.18 134.772 -41 124 -33 b_quark 0 4.18 128.466 111 -63 -14
b_quark 0 4.18 222.449 -196 -87 59 b_quark 0 4.18 151.435 107 105 21
b_quark 0 4.18 214.158 158 79 -121 b_quark 0 4.18 213.601 -138 -80 142
W+ 1 80.4 164.934 115 67 -55 W- 1 80.4 183.025 -117 -76 87
b_quark 0 4.18 276.52 151 -173 154 b_quark 0 4.18 183.724 -126 94 -95
b_quark 0 4.18 205.96 -193 -23 -68 b_quark 0 4.18 164.203 120 -56 97
b_quark 0 4.18 145.837 -37 -1 141 b_quark 0 4.18 157.59 -57 -72 -128
b_quark 0 4.18 271.569 -54 196 180 b_quark 0 4.18 155.253 75 -106 -85
W+ 1 80.4 168.137 -14 -89 117 W- 1 80.4 138.384 -15 35 -106
W+ 1 80.4 214.353 -47 -5 193 W- 1 80.4 157.512 81 -56 -93
b_quark 0 4.18 180.404 -36 176 16 b_quark 0 4.18 131.816 -2 -127 35
W+ 1 80.4 185.984 150 -51 55 W- 1 80.4 192.855 -97 146 -2
b_quark 0 4.18 185.015 150 7 108 b_quark 0 4.18 156.456 -146 36 -43
b_quark 0 4.18 123.574 87 -78 -40 b_quark 0 4.18 159.08 -113 98 -54
b_quark 0 4.18 67.0408 -3 52 42 b_quark 0 4.18 117.416 -77 -84 28
b_quark 0 4.18 255.052 -207 141 -48 b_quark 0 4.18 164.218 137 -90 -9
tau+ 0 1.78 305.315 102 189 -217 tau- 0 1.78 238.07 -135 -132 145
b_quark 0 4.18 167.217 -138 88 -34 b_quark 0 4.18 138.955 99 -93 -29
b_quark 0 4.18 193.058 62 -59 -173 b_quark 0 4.18 194.22 -128 2 146
tau+ 0 1.78 178.11 144 -78 70 tau- 0 1.78 215.165 -148 65 -142
W+ 1 80.4 188.834 -27 81 -148 W- 1 80.4 199.041 37 -122 130
b_quark 0 4.18 68.9309 -54 27 -33 b_quark 0 4.18 66.3511 -26 -30 -53
b_quark 0 4.18 185.015 146 111 -24 b_quark 0 4.18 176.826 -149 -93 -20
tau+ 0 1.78 195.949 54 119 146 tau- 0 1.78 166.68 -69 -133 -73
tau+ 0 1.78 155.361 73 87 106 tau- 0 1.78 138.019 17 -129 -46
b_quark 0 4.18 247.632 -126 22 -212 b_quark 0 4.18 202.404 130 55 145
b_quark 0 4.18 134.248 -95 -68 66 b_quark 0 4.18 94.4641 91 25 0
W+ 1 80.4 179.274 123 -39 95 W- 1 80.4 202.322 -149 13 -110
b_quark 0 4.18 152.72 -49 76 123 b_quark 0 4.18 168.094 31 -86 -141
tau+ 0 1.78 80.0698 30 72 -18 tau- 0 1.78 120.421 3 -100 -67
W+ 1 80.4 175.22 -78 -123 -55 W- 1 80.4 117.873 74 35 27
b_quark 0 4.18 283.49 154 232 53 b_quark 0 4.18 208.498 -142 -147 41
b_quark 0 4.18 257.316 201 -97 -128 b_quark 0 4.18 228.56 -105 141 146
b_quark 0 4.18 159.432 -41 -122 94 b_quark 0 4.18 95.992 13 72 -62
b_quark 0 4.18 182.722 -123 95 96 b_quark 0 4.18 124.091 64 -103 -26
b_quark 0 4.18 132.765 112 -21 -68 b_quark 0 4.18 105.548 -21 49 91
W+ 1 80.4 187.137 26 -158 54 W- 1 80.4 220.159 55 145 -134
W+ 1 80.4 116.298 -4 81 -22 W- 1 80.4 145.843 81 -26 87
b_quark 0 4.18 252.463 -202 146 -40 b_quark 0 4.18 210.757 141 -142 66
W+ 1 80.4 238.758 -46 -173 -136 W- 1 80.4 152.152 -37 89 86
W+ 1 80.4 213.713 68 132 -131 W- 1 80.4 202.221 16 -123 138
b_quark 0 4.18 197.541 -26 -180 -77 b_quark 0 4.18 150.541 -73 120 54
W+ 1 80.4 263.04 74 177 161 W- 1 80.4 230.157 -142 -150 -62
W+ 1 80.4 210.324 26 50 -186 W- 1 80.4 149.567 31 -49 112
b_quark 0 4.18 133.52 -91 48 85 b_quark 0 4.18 50.3336 28 34 -24
b_quark 0 4.18 134.304 -120 22 56 b_quark 0 4.18 50.877 29 -37 -19
b_quark 0 4.18 215.737 -196 78 45 b_quark 0 4.18 146.576 139 -39 -25
b_quark 0 4.18 136.321 54 -97 79 b_quark 0 4.18 146.012 -42 43 -133
tau+ 0 1.78 232.151 203 -89 -69 tau- 0 1.78 172.274 -105 31 133
W+ 1 80.4 108.394 2 -60 41 W- 1 80.4 157.801 -66 116 25
W+ 1 80.4 107.379 -43 -9 56 W- 1 80.4 152.532 -36 -85 -91
b_quark 0 4.18 256.841 85 -207 -126 b_quark 0 4.18 171.221 11 147 87
b_quark 0 4.18 125.182 -25 68 102 b_quark 0 4.18 20.1612 4 7 -18
W+ 1 80.4 250.594 -125 -62 192 W- 1 80.4 194.085 89 -28 -150
b_quark 0 4.18 146.923 6 -37 142 b_quark 0 4.18 162.254 -82 33 -136
W+ 1 80.4 147.974 8 -122 22 W- 1 80.4 90.0786 1 32 -25
W+ 1 80.4 238.598 -148 -119 120 W- 1 80.4 184.654 94 29 -134
W+ 1 80.4 203.728 108 -96 -119 W- 1 80.4 239.494 -120 147 122
b_quark 0 4.18 201.86 -65 -189 -28 b_quark 0 4.18 104.878 -26 91 -45
W+ 1 80.4 147.004 -84 -43 79 W- 1 80.4 172.798 45 123 -79
b_quark 0 4.18 167.724 153 68 9 b_quark 0 4.18 211.515 -132 -144 81
b_quark 0 4.18 99.2898 9 84 52 b_quark 0 4.18 154.763 53 -142 -31
W+ 1 80.4 188.272 -35 -99 134 W- 1 80.4 184.177 104 0 -129
b_quark 0 4.18 118.497 38 -6 -112 b_quark 0 4.18 39.9934 33 18 13
b_quark 0 4.18 172.802 19 131 -111 b_quark 0 4.18 94.9814 34 -78 42
b_quark 0 4.18 223.847 133 180 1 b_quark 0 4.18 166.624 -141 -88 11
b_quark 0 4.18 173.964 -53 61 154 b_quark 0 4.18 141.32 -24 -57 -127
W+ 1 80.4 273.482 -134 14 -224 W- 1 80.4 173.373 63 -44 133
b_quark 0 4.18 165.621 105 62 112 b_quark 0 4.18 172.126 -145 -29 -88
b_quark 0 4.18 142.16 132 -52 -8 b_quark 0 4.18 189.479 -108 139 70
b_quark 0 4.18 203.4 -13 -144 143 b_quark 0 4.18 105.941 26 63 -81
W+ 1 80.4 218.326 29 200 -19 W- 1 80.4 152.099 -45 -121 -2
b_quark 0 4.18 255.036 -91 204 123 b_quark 0 4.18 168.129 1 -140 -93
b_quark 0 4.18 116.63 -60 39 -92 b_quark 0 4.18 195.426 147 -106 73
b_quark 0 4.18 170.054 -7 36 166 b_quark 0 4.18 176.529 -70 -111 -118
W+ 1 80.4 127.962 39 17 -90 W- 1 80.4 115.966 -22 56 58
b_quark 0 4.18 320.066 227 -136 180 b_quark 0 4.18 200.318 -143 50 -131
b_quark 0 4.18 249.382 178 51 -167 b_quark 0 4.18 213.456 -136 -137 91
tau+ 0 1.78 248.099 90 -61 -223 tau- 0 1.78 239.061 -125 149 139
b_quark 0 4.18 208.529 59 -85 -181 b_quark 0 4.18 167.211 -89 110 89
W+ 1 80.4 129.438 25 16 97 W- 1 80.4 103.625 33 -28 -49
b_quark 0 4.18 172.196 19 -163 -52 b_quark 0 4.18 161.637 -62 148 -19
W+ 1 80.4 151.001 121 -36 -20 W- 1 80.4 158.698 -114 -37 66
b_quark 0 4.18 168.566 8 147 82 b_quark 0 4.18 116.84 -60 -85 -53
b_quark 0 4.18 241.925 57 -235 -6 b_quark 0 4.18 141.981 -21 140 -10
b_quark 0 4.18 238.683 100 34 214 b_quark 0 4.18 195.93 -147 51 -119
b_quark 0 4.18 163.947 72 -134 61 b_quark 0 4.18 149.035 -136 43 -43
W+ 1 80.4 231.236 7 106 189 W- 1 80.4 216.486 45 -141 -136
b_quark 0 4.18 211.411 55 84 -186 b_quark 0 4.18 203.223 -75 -116 149
W+ 1 80.4 233.62 -80 -155 133 W- 1 80.4 183.505 136 65 -67
b_quark 0 4.18 67.3608 2 40 54 b_quark 0 4.18 83.3275 -42 -71 11
b_quark 0 4.18 241.991 161 170 -61 b_quark 0 4.18 162.525 -139 -80 26
W+ 1 80.4 121.496 20 84 29 W- 1 80.4 175.294 46 -112 -98
b_quark 0 4.18 158.507 55 89 119 b_quark 0 4.18 115.319 -37 -26 -106
b_quark 0 4.18 238.503 105 -204 65 b_quark 0 4.18 170.899 -33 136 -98
b_quark 0 4.18 202.253 42 -167 -106 b_quark 0 4.18 184.018 -132 95 86
b_quark 0 4.18 259.974 62 122 -221 b_quark 0 4.18 186.739 -101 -67 142
b_quark 0 4.18 64.5947 7 59 -25 b_quark 0 4.18 73.1264 -71 15 -8
b_quark 0 4.18 176.792 -57 -10 -167 b_quark 0 4.18 84.6905 3 39 75
W+ 1 80.4 199.184 -48 159 75 W- 1 80.4 181.354 120 -109 -12
W+ 1 80.4 175.622 -31 -153 -3 W- 1 80.4 118.681 31 66 48
W+ 1 80.4 168.215 40 66 126 W- 1 80.4 140.507 25 -77 -82
b_quark 0 4.18 134.809 94 62 74 b_quark 0 4.18 157.653 -145 -56 -26
b_quark 0 4.18 215.201 -27 -162 139 b_quark 0 4.18 157.173 15 125 -94
b_quark 0 4.18 203.734 93 171 -60 b_quark 0 4.18 173.359 -56 -130 100
W+ 1 80.4 135.359 -99 44 -11 W- 1 80.4 84.2209 17 4 -18
b_quark 0 4.18 132.81 65 -110 36 b_quark 0 4.18 196.437 -99 145 -88
b_quark 0 4.18 191.978 75 98 -147 b_quark 0 4.18 126.852 8 -37 121
b_quark 0 4.18 185.805 -5 25 184 b_quark 0 4.18 138.009 -20 -95 -98
b_quark 0 4.18 161.467 -73 50 -135 b_quark 0 4.18 153.109 132 49 60
W+ 1 80.4 150.427 -112 22 56 W- 1 80.4 98.5655 49 -11 27
W+ 1 80.4 178.082 -128 -87 -36 W- 1 80.4 146.854 55 106 -29
b_quark 0 4.18 170.351 72 147 47 b_quark 0 4.18 191.467 -119 -116 -95
b_quark 0 4.18 199.197 167 107 18 b_quark 0 4.18 206.377 -146 -117 -87
b_quark 0 4.18 118.112 60 -27 -98 b_quark 0 4.18 87.4441 -46 -67 32
W+ 1 80.4 200.368 -95 3 157 W- 1 80.4 210.041 118 52 -145
b_quark 0 4.18 242.102 206 -124 28 b_quark 0 4.18 129.358 -122 34 -26
b_quark 0 4.18 112.51 -40 -4 -105 b_quark 0 4.18 110.288 93 19 56
b_quark 0 4.18 100.928 -13 -80 60 b_quark 0 4.18 74.535 5 32 -67
b_quark 0 4.18 208.008 125 -155 -60 b_quark 0 4.18 117.955 -34 112 -14
W+ 1 80.4 122.589 -38 8 -84 W- 1 80.4 163.781 130 56 18
W+ 1 80.4 265.023 -74 196 -141 W- 1 80.4 196.574 104 -135 56
b_quark 0 4.18 241.302 -182 -37 -154 b_quark 0 4.18 190.388 121 -58 135
b_quark 0 4.18 208.479 -7 206 31 b_quark 0 4.18 122.786 1 -117 37
b_quark 0 4.18 218.732 -161 148 1 b_quark 0 4.18 219.076 129 -150 -94
b_quark 0 4.18 26.2959 -15 20 -7 b_quark 0 4.18 48.8515 -18 14 43
b_quark 0 4.18 109.866 33 -50 -92 b_quark 0 4.18 138.411 -14 80 112
b_quark 0 4.18 126.919 37 111 -49 b_quark 0 4.18 77.6432 -61 -21 43
b_quark 0 4.18 129.593 -28 48 117 b_quark 0 4.18 46.2652 15 7 -43
W+ 1 80.4 293.374 152 -186 -148 W- 1 80.4 227.353 -102 150 111
b_quark 0 4.18 242.461 -137 1 -200 b_quark 0 4.18 164.713 56 64 141
b_quark 0 4.18 201.488 -68 150 116 b_quark 0 4.18 123.509 105 -54 -36
b_quark 0 4.18 136.742 52 -101 76 b_quark 0 4.18 154.31 -63 84 -113
b_quark 0 4.18 63.4308 -1 -63 -6 b_quark 0 4.18 170.468 91 144 -5
b_quark 0 4.18 211.184 -204 39 38 b_quark 0 4.18 146.767 105 -33 -97
b_quark 0 4.18 54.3551 -32 -43 -8 b_quark 0 4.18 93.1046 89 1 -27
b_quark 0 4.18 187.605 -76 -29 169 b_quark 0 4.18 112.105 78 -15 -79
b_quark 0 4.18 129.686 0 -49 120 b_quark 0 4.18 95.4697 6 15 -94
b_quark 0 4.18 107.403 6 -99 41 b_quark 0 4.18 172.324 -39 134 -101
b_quark 0 4.18 51.6379 20 -35 32 b_quark 0 4.18 129.532 38 -26 -121
b_quark 0 4.18 101.885 9 -61 81 b_quark 0 4.18 146.354 29 119 -80
W+ 1 80.4 185.187 35 162 -19 W- 1 80.4 156.445 -103 -81 -29
b_quark 0 4.18 138.98 -125 37 -48 b_quark 0 4.18 193.945 132 -3 142
b_quark 0 4.18 190.398 -7 188 29 b_quark 0 4.18 173.722 -64 -145 -71
tau+ 0 1.78 237.853 71 1 227 tau- 0 1.78 156.308 -5 -50 -148
b_quark 0 4.18 129.118 -45 65 102 b_quark 0 4.18 152.53 108 -72 -80
Z 1 91.2 114.466 49 28 40 Z 1 91.2 207.25 -107 -95 -119
W+ 1 80.4 177.731 112 58 -96 W- 1 80.4 201.641 -97 -135 81
b_quark 0 4.18 182.602 -169 69 -2 b_quark 0 4.18 127.037 76 -88 -51
W+ 1 80.4 231.918 -8 -217 13 W- 1 80.4 197.872 84 143 -72
W+ 1 80.4 147.869 -115 40 -24 W- 1 80.4 170.347 104 -107 17
b_quark 0 4.18 153.716 99 11 -117 b_quark 0 4.18 141.274 -71 70 100
b_quark 0 4.18 137.443 18 18 -135 b_quark 0 4.18 80.867 56 19 55
b_quark 0 4.18 213.933 74 55 -193 b_quark 0 4.18 153.764 -24 -51 143
b_quark 0 4.18 153.07 -12 65 138 b_quark 0 4.18 39.5534 5 -1 -39
b_quark 0 4.18 27.5585 -6 9 25 b_quark 0 4.18 104.094 -9 -96 39
b_quark 0 4.18 171.486 171 7 -10 b_quark 0 4.18 107.273 -95 49 8
b_quark 0 4.18 220.24 62 -160 -138 b_quark 0 4.18 198.357 -132 140 48
b_quark 0 4.18 166.531 133 -99 -15 b_quark 0 4.18 144.345 -125 3 -72
b_quark 0 4.18 104.812 74 -4 74 b_quark 0 4.18 133.216 -114 37 -58
b_quark 0 4.18 194.387 -43 -188 -24 b_quark 0 4.18 199.385 135 146 14
b_quark 0 4.18 257.125 -156 -132 -156 b_quark 0 4.18 168.423 149 48 62
W+ 1 80.4 169.824 126 -58 56 W- 1 80.4 133.627 -96 -40 24
b_quark 0 4.18 112.082 107 30 14 b_quark 0 4.18 116.458 -99 60 12
b_quark 0 4.18 134.783 -54 -103 -68 b_quark 0 4.18 151.699 1 65 137
b_quark 0 4.18 155.452 0 82 132 b_quark 0 4.18 101.348 -47 -77 -46
b_quark 0 4.18 68.6693 -33 3 60 b_quark 0 4.18 152.717 120 -84 -43
b_quark 0 4.18 170.284 -77 51 143 b_quark 0 4.18 191.892 120 -97 -114
b_quark 0 4.18 214.848 -119 110 -141 b_quark 0 4.18 145.449 35 -92 107
b_quark 0 4.18 90.1747 -23 32 -81 b_quark 0 4.18 91.9808 -39 -81 -19
b_quark 0 4.18 217.586 65 -126 165 b_quark 0 4.18 109.725 22 63 -87
b_quark 0 4.18 265.561 198 -26 175 b_quark 0 4.18 157.745 -119 -36 -97
b_quark 0 4.18 258.574 -81 -201 -141 b_quark 0 4.18 223.773 138 122 127
b_quark 0 4.18 188.474 -38 130 -131 b_quark 0 4.18 74.8964 -34 -44 50
b_quark 0 4.18 271.003 170 170 -125 b_quark 0 4.18 183.43 -86 -112 117
tau+ 0 1.78 225.018 -146 117 125 tau- 0 1.78 208.816 150 -125 -74
b_quark 0 4.18 200.889 93 -177 19 b_quark 0 4.18 163.106 -97 131 4
b_quark 0 4.18 88.9352 60 64 -14 b_quark 0 4.18 50.2342 -12 -39 29
b_quark 0 4.18 167.733 -64 114 105 b_quark 0 4.18 165.736 123 -21 -109
b_quark 0 4.18 106.904 87 -59 -19 b_quark 0 4.18 134.158 -66 20 115
b_quark 0 4.18 171.929 -75 146 51 b_quark 0 4.18 127.462 86 -88 33
b_quark 0 4.18 95.6947 48 -70 44 b_quark 0 4.18 138.591 -21 130 43
b_quark 0 4.18 148.295 133 -21 -62 b_quark 0 4.18 135.807 -44 71 107
b_quark 0 4.18 150.647 -1 76 130 b_quark 0 4.18 162.254 -12 -137 -86
b_quark 0 4.18 217.415 124 30 176 b_quark 0 4.18 147.24 -63 53 -122
W+ 1 80.4 231.673 46 -184 -106 W- 1 80.4 203.227 -138 112 57
W+ 1 80.4 184.846 6 52 -158 W- 1 80.4 168.057 -83 -93 79
b_quark 0 4.18 239.287 -199 -42 -126 b_quark 0 4.18 162.799 134 51 77
b_quark 0 4.18 252.831 -169 -112 151 b_quark 0 4.18 195.28 138 92 -103
W+ 1 80.4 240.861 103 54 195 W- 1 80.4 228.924 -122 -103 -143
b_quark 0 4.18 210.056 -203 44 -31 b_quark 0 4.18 148.619 131 -70 -3
W+ 1 80.4 169.497 120 44 77 W- 1 80.4 162.358 -110 20 -86
W+ 1 80.4 195.044 -28 175 -13 W- 1 80.4 146.298 49 -107 33
W+ 1 80.4 151.668 -77 61 83 W- 1 80.4 200.412 135 10 -124
b_quark 0 4.18 63.7375 45 -24 38 b_quark 0 4.18 116.424 -42 102 -37
b_quark 0 4.18 87.7637 -34 48 65 b_quark 0 4.18 80.3273 43 -65 19
b_quark 0 4.18 152.077 102 -41 -105 b_quark 0 4.18 87.906 -47 5 74
tau+ 0 1.78 193.156 192 -21 -1 tau- 0 1.78 149.078 -115 -64 -70
W+ 1 80.4 194.327 -73 -161 7 W- 1 80.4 203.836 86 133 -100
tau+ 0 1.78 226.956 25 216 -65 tau- 0 1.78 165.572 -95 -119 65
b_quark 0 4.18 167.315 38 78 -143 b_quark 0 4.18 140.098 -13 -71 120
W+ 1 80.4 252.06 163 15 174 W- 1 80.4 160.823 -70 -10 -120
W+ 1 80.4 145.28 16 119 -15 W- 1 80.4 154.587 56 -116 -29
b_quark 0 4.18 256.576 193 167 26 b_quark 0 4.18 168.868 -147 -67 49
b_quark 0 4.18 156.165 108 -41 -105 b_quark 0 4.18 155.263 -142 55 30
b_quark 0 4.18 227.479 -2 -214 77 b_quark 0 4.18 152.822 -65 134 -34
b_quark 0 4.18 215.329 28 66 -203 b_quark 0 4.18 198.004 -128 30 148
b_quark 0 4.18 226.3 65 -212 45 b_quark 0 4.18 124.288 -30 117 29
b_quark 0 4.18 67.9152 -51 -25 37 b_quark 0 4.18 45.5134 -18 -19 -37
b_quark 0 4.18 157.539 -53 -146 -26 b_quark 0 4.18 168.441 129 85 67
b_quark 0 4.18 110.546 -77 57 -55 b_quark 0 4.18 196.681 135 29 140
W+ 1 80.4 99.8507 4 -3 59 W- 1 80.4 85.3707 -10 -18 20
W+ 1 80.4 166.608 13 26 143 W- 1 80.4 172.7 -89 -68 -104
W+ 1 80.4 128.946 -49 -79 39 W- 1 80.4 115.261 -9 82 -4
W+ 1 80.4 256.8 64 45 -231 W- 1 80.4 157.443 24 -18 132
b_quark 0 4.18 131.109 -14 40 -124 b_quark 0 4.18 110.447 9 -88 66
b_quark 0 4.18 33.9775 19 10 26 b_quark 0 4.18 111.411 -95 57 -11
b_quark 0 4.18 195.414 112 -155 40 b_quark 0 4.18 157.539 -106 58 -101
b_quark 0 4.18 175.033 -145 -87 45 b_quark 0 4.18 127.069 102 53 54
b_quark 0 4.18 40.5274 -10 9 -38 b_quark 0 4.18 80.1715 60 31 43
b_quark 0 4.18 201.344 -83 -183 -12 b_quark 0 4.18 134.326 24 115 -65
W+ 1 80.4 312.469 182 -232 65 W- 1 80.4 225.996 -148 145 -41
b_quark 0 4.18 175.586 -74 109 -116 b_quark 0 4.18 114.989 8 -71 90
b_quark 0 4.18 230.522 -225 -47 -17 b_quark 0 4.18 150.644 132 34 64
b_quark 0 4.18 98.8862 9 44 -88 b_quark 0 4.18 142.054 -93 8 107
W+ 1 80.4 141.712 1 -36 -111 W- 1 80.4 171.363 22 -41 144
W+ 1 80.4 227.355 -55 180 -99 W- 1 80.4 121.956 -41 -82 2
W+ 1 80.4 149.67 112 57 12 W- 1 80.4 188.654 -89 -126 -73
b_quark 0 4.18 220.253 -177 106 -77 b_quark 0 4.18 114.47 111 -18 21
b_quark 0 4.18 157.824 -43 -139 61 b_quark 0 4.18 67.0483 30 47 -37
W+ 1 80.4 153.607 69 93 61 W- 1 80.4 167.467 13 -26 -144
W+ 1 80.4 188.64 166 -11 -38 W- 1 80.4 201.41 -117 37 138
b_quark 0 4.18 234.119 161 -132 107 b_quark 0 4.18 186.811 -101 134 -82
b_quark 0 4.18 179.796 158 -81 -28 b_quark 0 4.18 179.526 -120 126 -44
b_quark 0 4.18 122.994 -106 -25 57 b_quark 0 4.18 101.146 78 60 -23
b_quark 0 4.18 196.78 -70 179 42 b_quark 0 4.18 141.405 -9 -139 24
b_quark 0 4.18 127.057 49 27 114 b_quark 0 4.18 148.106 -23 -35 -142
b_quark 0 4.18 162.405 -131 94 19 b_quark 0 4.18 102.091 78 -15 64
b_quark 0 4.18 198.994 114 44 -157 b_quark 0 4.18 167.516 -142 -34 82
b_quark 0 4.18 153.774 99 -78 88 b_quark 0 4.18 201.362 -67 126 -142
b_quark 0 4.18 151.23 113 -72 70 b_quark 0 4.18 190.206 -34 146 -117
b_quark 0 4.18 264.385 -193 173 52 b_quark 0 4.18 186.876 130 -134 7
b_quark 0 4.18 163.672 41 157 -21 b_quark 0 4.18 144.068 -25 -87 112
b_quark 0 4.18 177.348 -57 165 -31 b_quark 0 4.18 194.668 142 -133 5
b_quark 0 4.18 133.182 -130 -26 -12 b_quark 0 4.18 100.928 87 46 -22
b_quark 0 4.18 214.239 -151 -54 -142 b_quark 0 4.18 127.889 67 43 100
b_quark 0 4.18 108.192 -56 34 86 b_quark 0 4.18 174.735 -35 -97 -141
b_quark 0 4.18 196.956 -138 91 -107 b_quark 0 4.18 177.097 113 -129 44
b_quark 0 4.18 101.801 9 -101 -8 b_quark 0 4.18 120.928 -46 77 81
tau+ 0 1.78 229.696 134 -185 -24 tau- 0 1.78 198.026 -81 141 113
b_quark 0 4.18 214.006 126 41 -168 b_quark 0 4.18 178.069 -107 -19 141
b_quark 0 4.18 55.077 -24 -46 18 b_quark 0 4.18 106.6 79 -52 49
b_quark 0 4.18 254.65 -54 197 152 b_quark 0 4.18 150.384 50 -107 -93
b_quark 0 4.18 282.274 68 -214 171 b_quark 0 4.18 181.652 12 144 -110
b_quark 0 4.18 203.979 26 -165 117 b_quark 0 4.18 109.359 -19 66 -85
b_quark 0 4.18 202.263 -94 -179 4 b_quark 0 4.18 136.34 21 133 -21
b_quark 0 4.18 35.9788 8 22 -27 b_quark 0 4.18 65.7531 9 39 -52
b_quark 0 4.18 184.78 149 -87 66 b_quark 0 4.18 137.635 -65 110 -51
b_quark 0 4.18 88.6762 63 -31 54 b_quark 0 4.18 147.795 -145 -24 -15
b_quark 0 4.18 177.866 43 -159 -67 b_quark 0 4.18 185.501 57 110 138
b_quark 0 4.18 145.177 43 83 -111 b_quark 0 4.18 125.182 12 -25 122
b_quark 0 4.18 239.298 -139 -193 26 b_quark 0 4.18 142.448 64 127 -7
b_quark 0 4.18 86.5937 -39 -74 22 b_quark 0 4.18 106.492 73 45 -63
b_quark 0 4.18 220.723 -179 -84 -98 b_quark 0 4.18 201.2 124 112 112
b_quark 0 4.18 188.092 -18 -186 21 b_quark 0 4.18 113.84 7 107 -38
W+ 1 80.4 200.203 -35 -174 -46 W- 1 80.4 216.38 24 138 144
b_quark 0 4.18 195.229 52 188 7 b_quark 0 4.18 133.081 -42 -115 -52
b_quark 0 4.18 84.2762 58 -60 11 b_quark 0 4.18 76.351 -76 6 0
